Time_s,Hour,User_ID,Lat,Lon,Demand_Mbps,TN_Eval_BS,TN_Eval_MHz,TN_Reason,NTN_Eval_Beam,NTN_Eval_MHz,NTN_Reason,Final_State
0,0.0,0.0,142,43.4568,-80.0567,0.43,BS_362,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,143,46.259,-80.7125,0.66,BS_491,100.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,144,43.1674,-80.0239,2.62,BS_569,19.69,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,145,43.8326,-79.2569,3.27,BS_740,19.84,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,146,43.9203,-79.3225,0.16,BS_100,100.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,147,42.9224,-81.2125,0.66,BS_711,19.63,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,148,44.4372,-76.4513,0.58,BS_79,19.89,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,149,44.9234,-75.708,0.16,None,0.0,No 5G Tower in Geographic Range,Sat_STARLINK-SHELL-1-067-003,300.0,Fully Served,LEO
0,0.0,0.0,150,42.7031,-81.3894,0.49,BS_615,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,151,43.4071,-79.6946,0.31,BS_508,19.5,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,153,43.163,-79.8341,4.52,BS_1,19.12,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,154,45.4656,-75.5818,0.62,BS_267,19.46,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,155,45.3164,-75.6894,0.95,BS_639,19.95,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,156,46.6497,-81.331,0.44,None,0.0,No 5G Tower in Geographic Range,Sat_STARLINK-SHELL-2-066-003,299.69,Fully Served,LEO
0,0.0,0.0,157,43.7964,-79.2422,0.41,BS_733,19.83,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,158,43.6659,-79.6091,0.47,BS_345,19.85,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,159,43.0121,-80.152,0.79,BS_284,19.94,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,160,43.0855,-79.7443,0.15,BS_319,19.99,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,161,42.9736,-81.2413,0.18,BS_709,19.53,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,162,45.3758,-75.4881,3.68,BS_275,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,163,43.1025,-81.1567,0.4,BS_236,19.49,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,164,45.3255,-75.8412,0.45,BS_34,19.59,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,165,43.1189,-81.4176,0.96,BS_63,19.89,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,166,45.351,-75.7,0.32,BS_632,19.52,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,167,44.1556,-76.3984,0.35,BS_596,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,168,42.7082,-81.1539,0.46,BS_198,19.72,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,169,43.8346,-79.1272,0.15,BS_728,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,170,44.4933,-76.254,0.34,BS_78,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,172,43.6235,-79.6123,0.37,BS_337,19.71,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,173,42.9231,-81.2002,0.91,BS_711,19.56,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,174,43.2379,-79.995,0.88,BS_144,19.94,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,175,43.2082,-79.7432,0.11,BS_2,19.73,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,177,45.5002,-75.5057,0.41,BS_278,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,178,42.8746,-81.4307,0.19,BS_626,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,179,43.1678,-79.9064,0.48,BS_152,20.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,180,46.5028,-81.4587,0.63,None,0.0,No 5G Tower in Geographic Range,Sat_STARLINK-SHELL-2-066-003,299.78,Fully Served,LEO
0,0.0,0.0,181,45.3795,-75.6009,0.49,BS_280,19.25,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,182,43.6723,-79.4819,0.32,BS_168,19.79,Fully Served,None,0.0,N/A,TN
